Type,District,Street,House,SportType,Phone,Latitude,Longitude
Спортивная площадка,Дзержинский район,Национальная улица,19,"Волейбол, Футбол",+7(383)2409967,55.04867169274059,82.99233382835124
Спортивная площадка,Дзержинский район,Республиканская улица,1,"Футбол, Волейбол",+7(383)2409967,55.06433493949449,82.9618727284034
Спортивная площадка,Железнодорожный район,1905 года улица,30/1,"Волейбол, Футбол",+7(383)2409967,55.042301976946284,82.90532097584976
Спортивная площадка,Железнодорожный район,Нарымская улица,25,"Волейбол, Футбол",+7(383)2409967,55.04505198389985,82.90393715055697
Спортивная площадка,Железнодорожный район,Революции улица,7,"Волейбол, Футбол",+7(383)2409967,55.024983744099515,82.91003513457241
Спортивная площадка,Железнодорожный район,Советская улица,7,"Волейбол, Футбол",+7(383)2409967,55.022587368159435,82.91836277938263
Спортивная площадка,Заельцовский район,Аэропорт улица,53,"Футбол, Волейбол",+7(383)2409967,55.079012536211046,82.90577844601535
Спортивная площадка,Заельцовский район,Дуси Ковальчук улица,14,"Футбол, Волейбол",+7(383)2409967,55.04659211573089,82.88462837191985
Спортивная площадка,Заельцовский район,Кропоткина улица,128,"Футбол, Волейбол",+7(383)2409967,55.05680265277866,82.9357757858791
Спортивная площадка,Заельцовский район,Рельсовая улица,3,"Волейбол, Футбол",+7(383)2409967,55.05432245545044,82.92280980665382
Спортивная площадка,Заельцовский район,Тимирязева улица,93,Футбол,+7(383)2409967,55.06099932361936,82.89783475255362
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,107,Футбол,+7(383)2409967,55.10447394229311,82.98260360462244
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,24,Футбол,+7(383)2409967,55.07104790285077,82.9458148765075
Спортивная площадка,Калининский район,Богдана Хмельницкого улица,8/3,"Волейбол, Футбол",+7(383)2409967,55.06709354420378,82.93829396150905
Спортивная площадка,Калининский район,Макаренко улица,21,Футбол,+7(383),55.09990998084142,82.96510716279064
Спортивная площадка,Калининский район,Объединения улица,39,Футбол,+7(383)2409967,55.09900133337153,82.97490658508843
Спортивная площадка,Калининский район,Столетова улица,32,Футбол,+7(383)2409967,55.10321851125275,82.96734819086468
Спортивная площадка,Калининский район,Целинная улица,29,"Футбол, Волейбол",+7(383)2409967,55.09397540743839,82.93532004051022
Спортивная площадка,Кировский район,3-й Костычева переулок,23,"Баскетбол, Футбол",+7(383)2409967,54.973507493219344,82.87958405551386
Спортивная площадка,Кировский район,Бородина улица,14,"Волейбол, Футбол",+7(383)2409967,54.93191850678067,82.86683972023773
Спортивная площадка,Кировский район,Бурденко улица,30,"Волейбол, Футбол",+7(383)2409967,54.96537449235397,82.91504760782504
Спортивная площадка,Кировский район,Герцена улица,6,"Волейбол, Футбол",+7(383)2409967,54.960594800709885,82.96796555233988
Спортивная площадка,Кировский район,Горбаня улица,5,"Футбол, Волейбол",+7(383)2409967,54.966445354982966,82.91398397417632
Спортивная площадка,Кировский район,Зорге улица,133,Баскетбол,+7(383)2409967,54.934428108834645,82.92461638876985
Спортивная площадка,Кировский район,Зорге улица,74,Баскетбол,+7(383)2409967,54.93112551067582,82.90507960491084
Спортивная площадка,Кировский район,Зорге улица,47/2,Группы здоровья,+7(383)2409967,54.93471649711448,82.91385176019969
Спортивная площадка,Кировский район,Комсомольская улица,31,"Баскетбол, Футбол",+7(383)2409967,54.956751463788954,82.95802117208147
Спортивная площадка,Кировский район,Мира улица,59,Футбол,+7(383)2409967,54.96610261143172,82.922895659184
Спортивная площадка,Кировский район,Саввы Кожевникова улица,13,Баскетбол,+7(383)2409967,54.95984896225976,82.97431616362738
Спортивная площадка,Кировский район,Сибиряков-Гвардейцев улица,44/6,"Волейбол, Футбол",+7(383)2409967,54.966180456575614,82.89766938328816
Спортивная площадка,Кировский район,Сибиряков-Гвардейцев улица,18,Группы здоровья,+7(383)2409967,54.978534398551595,82.8930977961509
Спортивная площадка,Ленинский район,Невельского улица,79,"Волейбол, Футбол",+7(383)2409967,54.9915285545329,82.80647039217494
Спортивная площадка,Ленинский район,Троллейная улица,138,"Волейбол, Футбол",+7(383)2409967,54.96305951041601,82.84691971192784
Спортивная площадка,Ленинский район,Широкая улица,135,"Хоккей, Хоккей с мячом, Футбол, Волейбол",+7(383)2409967,54.9921495545329,82.83918989217494
Спортивная площадка,Октябрьский район,Белинского улица,1/1,Группы здоровья,+7(383)2409967,55.02503093202135,82.94112426634514
Спортивная площадка,Октябрьский район,Большевистская улица,175/3,"Волейбол, Футбол",+7(383)2409967,54.99548688897232,82.97299106191916
Спортивная площадка,Октябрьский район,Бориса Богаткова улица,165,Футбол,+7(383)2409967,55.03403165722207,82.97165049183434
Спортивная площадка,Октябрьский район,Бориса Богаткова улица,163/8,Футбол,+7(383)2409967,55.031931482370645,82.96893978463838
Спортивная площадка,Октябрьский район,Бориса Богаткова улица,202,"Волейбол, Футбол",+7(383)2409967,55.03298359172488,82.97567703900971
Спортивная площадка,Октябрьский район,Бориса Богаткова улица,201,"Футбол, Волейбол",+7(383)2409967,55.03512912075122,82.97450157057577
Спортивная площадка,Октябрьский район,В. Высоцкого улица,5,Футбол,+7(383)2409967,55.67699657227786,84.42438141202601
Спортивная площадка,Октябрьский район,В. Высоцкого улица,3,"Волейбол, Футбол",+7(383)2409967,54.9762955053957,82.75209136874587
Спортивная площадка,Октябрьский район,Ленинградская улица,139,"Волейбол, Футбол",+7(383)2409967,55.0115738370938,82.96214194910245
Спортивная площадка,Октябрьский район,Федосеева улица,3,Футбол,+7(383)2409967,55.03788668388246,82.96832353095955
Спортивная площадка,Первомайский район,Узорная улица,19,"Волейбол, Футбол",+7(383)2409967,54.92175618512321,83.079327341393
Спортивная площадка,Первомайский район,Шмидта улица,6,"Волейбол, Футбол",+7(383)2409967,54.973884678313865,83.08278301803342
Спортивная площадка,Советский район,Лесосечная улица,8,Футбол,+7(383)2409967,54.891019477927244,83.08441255689883
Спортивная площадка,Центральный район,Демьяна Бедного улица,68а,"Волейбол, Футбол",+7(383)2409967,55.047482717179285,82.9389962314618
Спортивная площадка,Центральный район,Ипподромская улица,30,"Волейбол, Футбол",+7(383)2409967,55.04561353621104,82.94366192353856
Спортивная площадка,Центральный район,Каменская улица,26,"Волейбол, Футбол",+7(383)2409967,55.02873647100232,82.92975676672052
Спортивная площадка,Центральный район,Красный проспект,51/3,"Волейбол, Футбол",+7(383)2409967,55.03760945325738,82.91712019594327
Спортивная площадка,Центральный район,Крылова улица,55,Футбол,+7(383)2409967,55.042056503462454,82.93537292353858
Спортивная площадка,Центральный район,Ольги Жилиной улица,88,"Волейбол, Футбол",+7(383)2409967,55.04512430835592,82.93315375079327
Спортивная площадка,Центральный район,Писарева улица,20,"Волейбол, Футбол",+7(383)2409967,55.04880855785113,82.9182114163252
Спортивная площадка,Центральный район,Селезнева улица,33,Футбол,+7(383)2409967,55.04399052899767,82.9442245073576
Спортивная площадка,Калининский район,Новоуральская улица,19,Группы здоровья,+7(383)2409967,55.17268854227058,82.96514872326745
Спортивная площадка,Кировский район,Зорге улица,58,Баскетбол,+7(383)2409967,54.93241549624911,82.89910729808413
Спортивная площадка,Советский район,Демакова улица,17/1,"Мини-футбол, Волейбол",+7(383)2409967,54.86538566472387,83.11045920471445
Спортивная площадка,Дзержинский район,Республиканская улица,12/1,"Футбол, Мини-футбол",+7(383)2409967,55.068044340584926,82.97209431689696
Хоккейная коробка,Дзержинский район,Толбухина улица,25,"Хоккей, Хоккей с мячом",+7(383)2409967,55.04265809908248,83.00684831487679
Хоккейная коробка,Железнодорожный район,Челюскинцев улица,36/1,"Хоккей с мячом, Хоккей",+7(383)2409967,55.038038794881494,82.90783709285009
Хоккейная коробка,Заельцовский район,Жуковского улица,113/2,"Хоккей с мячом, Хоккей",+7(383)2409967,55.06060321870849,82.8934827999018
Хоккейная коробка,Заельцовский район,Лебедевского улица,2,"Хоккей, Хоккей с мячом",+7(383)2409967,55.08137107048884,82.92438354827186
Хоккейная коробка,Заельцовский район,Магаданская улица,3,"Хоккей с мячом, Хоккей",+7(383)2409967,55.075093281983996,82.93879398805481
Хоккейная коробка,Калининский район,Кропоткина улица,134,"Хоккей, Хоккей с мячом",+7(383)2409967,55.05868858728147,82.9476348157135
Хоккейная коробка,Калининский район,Олеко Дундича улица,27/2,"Хоккей с мячом, Хоккей",+7(383)2409967,55.0777393344394,82.97225184791385
Хоккейная коробка,Калининский район,Учительская улица,19/3,"Хоккей с мячом, Хоккей",+7(383)2409967,55.07687440106177,82.96683806454486
Хоккейная коробка,Кировский район,Беловежская улица,12,"Хоккей с мячом, Хоккей",+7(383)2409967,54.965676133216036,82.894094650961
Хоккейная коробка,Кировский район,Бурденко улица,22,"Хоккей, Хоккей с мячом",+7(383)2409967,54.965465999475015,82.91240948390644
Хоккейная коробка,Кировский район,Водозабор улица,6,"Хоккей с мячом, Хоккей",+7(383)2409967,54.955946127387655,82.9826715945235
Хоккейная коробка,Кировский район,Зорге улица,33,"Хоккей с мячом, Хоккей",+7(383)2409967,54.93661379156328,82.90402560825773
Хоккейная коробка,Кировский район,Зорге улица,211,Хоккей,+7(383)2409967,54.9307028892321,82.91867844001408
Хоккейная коробка,Кировский район,Комсомольская улица,33,"Хоккей с мячом, Хоккей",+7(383)2409967,54.956229956979634,82.95857216154987
Хоккейная коробка,Кировский район,Палласа улица,39,"Хоккей с мячом, Хоккей",+7(383)2409967,54.9471707726645,82.88067259642808
Хоккейная коробка,Кировский район,Сибиряков-Гвардейцев улица,60,"Хоккей с мячом, Хоккей",+7(383)2409967,54.940180452680465,82.89662070133897
Хоккейная коробка,Октябрьский район,Большевистская улица,163,"Хоккей с мячом, Хоккей",+7(383)2409967,54.996851378844774,82.96837284168146
Хоккейная коробка,Октябрьский район,Большевистская улица,26,"Хоккей с мячом, Хоккей",+7(383)2409967,55.00016484430717,82.95476207620166
Хоккейная коробка,Октябрьский район,Бориса Богаткова улица,194/3,"Хоккей с мячом, Хоккей",+7(383)2409967,55.03016652899767,82.97329064654627
Хоккейная коробка,Октябрьский район,Выборная улица,89,"Хоккей, Хоккей с мячом",+7(383)2409967,55.00283291144911,83.0141796781983
Хоккейная коробка,Октябрьский район,Ленинградская улица,147,"Хоккей с мячом, Хоккей",+7(383)2409967,55.010317243407,82.96629041756597
Хоккейная коробка,Первомайский район,Звездная улица,11,"Хоккей с мячом, Хоккей",+7(383)2409967,54.94612455981302,83.07073832904373
Хоккейная коробка,Советский район,Полевая улица,8/1,"Хоккей с мячом, Хоккей",+7(383)2409967,54.86480902553524,83.10401374089687
Хоккейная коробка,Советский район,Смоленская улица,3,"Хоккей с мячом, Хоккей",+7(383)2409967,54.85903429447745,82.98514263777506
Хоккейная коробка,Советский район,Часовая улица,25,"Хоккей, Хоккей с мячом",+7(383)2409967,54.865187549541254,82.9801297080327
Хоккейная коробка,Советский район,Экваторная улица,2,"Хоккей с мячом, Хоккей",+7(383)2409967,54.887959499567316,83.09798091618097
Хоккейная коробка,Центральный район,Гоголя улица,17,"Хоккей, Хоккей с мячом",+7(383)2409967,55.04330652899769,82.92578350735761
Хоккейная коробка,Центральный район,Серебренниковская улица,2/1,"Хоккей с мячом, Хоккей",+7(383)2409967,55.016844789341576,82.9285069150558
Хоккейная коробка,Кировский район,Зорге улица,60,Хоккей,+7(383)2409967,54.931574536211045,82.89924932751454
Хоккейная коробка,Кировский район,Зорге улица,211,Хоккей,+7(383)2409967,54.9307028892321,82.91867844001408
Хоккейная коробка,Центральный район,Трудовая улица,7,Хоккей,+7(383)2409967,55.032006478215685,82.91929885053958
Хоккейная коробка,Ленинский район,Титова улица,43/1,"Хоккей, Хоккей с мячом",+7(383)2409967,54.9803505545329,82.86170125396724
Хоккейная коробка,Кировский район,Вертковская улица,19,"Хоккей, Хоккей с мячом",+7(383)2409967,54.975178477927244,82.88859020272395
